date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:51:02	27/27	---M--	200	added ('OK')	text/plain	date:Sat,%2028%20Mar%202015%2020:01:25%20GMT	http://clapat.ro/robots.txt		(from )
22:51:03	35228/35228	---M-Z	200	added ('OK')	text/html	etag:%22203d-616187eb27a98%22	http://clapat.ro/themes/grenada-wordpress/	G:/Files/Webs/forest2/clapat.ro/themes/grenada-wordpress/index.html	(from )
22:51:04	58171/58171	---M-Z	200	added ('OK')	text/css	etag:%22e33b-5bfff194382d5-gzip%22	http://clapat.ro/themes/grenada-wordpress/wp-includes/css/dist/block-library/style.min.css?ver=5.7.11	G:/Files/Webs/forest2/clapat.ro/themes/grenada-wordpress/wp-includes/css/dist/block-library/style.min8e4f.css	(from http://clapat.ro/themes/grenada-wordpress/)
22:51:05	2731/2731	---M-Z	200	added ('OK')	text/css	etag:%22aab-5cff2c15cbcca-gzip%22	http://clapat.ro/themes/grenada-wordpress/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.5.2	G:/Files/Webs/forest2/clapat.ro/themes/grenada-wordpress/wp-content/plugins/contact-form-7/includes/css/styles4245.css	(from http://clapat.ro/themes/grenada-wordpress/)
22:51:05	11765/11765	---M-Z	200	added ('OK')	text/css	etag:%222df5-57fc37e2111c0-gzip%22	http://clapat.ro/themes/grenada-wordpress/wp-content/themes/grenada/css/portfolio.css?ver=5.7.11	G:/Files/Webs/forest2/clapat.ro/themes/grenada-wordpress/wp-content/themes/grenada/css/portfolio8e4f.css	(from http://clapat.ro/themes/grenada-wordpress/)
22:51:06	12912/12912	---M-Z	200	added ('OK')	text/css	etag:%223270-57fc37e2111c0-gzip%22	http://clapat.ro/themes/grenada-wordpress/wp-content/themes/grenada/css/packery.css?ver=5.7.11	G:/Files/Webs/forest2/clapat.ro/themes/grenada-wordpress/wp-content/themes/grenada/css/packery8e4f.css	(from http://clapat.ro/themes/grenada-wordpress/)
22:51:06	28420/28420	---M-Z	200	added ('OK')	text/css	etag:%226f04-57fc37e2111c0-gzip%22	http://clapat.ro/themes/grenada-wordpress/wp-content/themes/grenada/css/blog.css?ver=5.7.11	G:/Files/Webs/forest2/clapat.ro/themes/grenada-wordpress/wp-content/themes/grenada/css/blog8e4f.css	(from http://clapat.ro/themes/grenada-wordpress/)
22:51:06	24087/24087	---M-Z	200	added ('OK')	text/css	etag:%225e17-583d90cb6c600-gzip%22	http://clapat.ro/themes/grenada-wordpress/wp-content/themes/grenada/css/shortcodes.css?ver=5.7.11	G:/Files/Webs/forest2/clapat.ro/themes/grenada-wordpress/wp-content/themes/grenada/css/shortcodes8e4f.css	(from http://clapat.ro/themes/grenada-wordpress/)
22:51:07	48909/48909	---M-Z	200	added ('OK')	text/css	etag:%22bf0d-57fc37e2111c0-gzip%22	http://clapat.ro/themes/grenada-wordpress/wp-content/themes/grenada/css/assets.css?ver=5.7.11	G:/Files/Webs/forest2/clapat.ro/themes/grenada-wordpress/wp-content/themes/grenada/css/assets8e4f.css	(from http://clapat.ro/themes/grenada-wordpress/)
22:51:07	4814/4814	---MC-	200	added ('OK')	application/rss+xml	etag:%22c81dc31c6ffbf15bc92c35d5cec70228%22	http://clapat.ro/themes/grenada-wordpress/comments/feed/	G:/Files/Webs/forest2/clapat.ro/themes/grenada-wordpress/comments/feed/index.html	(from http://clapat.ro/themes/grenada-wordpress/)
22:51:07	58015/58015	---M-Z	200	added ('OK')	text/css	etag:%22e29f-57ff8f6c0ca00-gzip%22	http://clapat.ro/themes/grenada-wordpress/wp-content/themes/grenada/style.css?ver=5.7.11	G:/Files/Webs/forest2/clapat.ro/themes/grenada-wordpress/wp-content/themes/grenada/style8e4f.css	(from http://clapat.ro/themes/grenada-wordpress/)
22:51:08	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-57fc37e2111c0-gzip%22	http://clapat.ro/themes/grenada-wordpress/wp-content/themes/grenada/css/font-awesome.min.css?ver=5.7.11	G:/Files/Webs/forest2/clapat.ro/themes/grenada-wordpress/wp-content/themes/grenada/css/font-awesome.min8e4f.css	(from http://clapat.ro/themes/grenada-wordpress/)
22:51:09	484758/484758	---M-Z	200	added ('OK')	text/css	etag:%2276596-5858cd4b37680-gzip%22	http://clapat.ro/themes/grenada-wordpress/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.7	G:/Files/Webs/forest2/clapat.ro/themes/grenada-wordpress/wp-content/plugins/js_composer/assets/css/js_composer.mine23c.css	(from http://clapat.ro/themes/grenada-wordpress/)
22:51:09	20723/20723	---MC-	200	added ('OK')	application/rss+xml	etag:%223c254aa49b0f6824e1509f98280fe406%22	http://clapat.ro/themes/grenada-wordpress/feed/	G:/Files/Webs/forest2/clapat.ro/themes/grenada-wordpress/feed/index.html	(from http://clapat.ro/themes/grenada-wordpress/)
